gene_id	gene	product
I6J55_RS07455		ABC transporter permease
I6J55_RS07460		ABC transporter permease
I6J55_RS07465		ABC transporter permease
I6J55_RS07470		ABC transporter permease
I6J55_RS07475		ABC transporter permease
I6J55_RS07480		efflux RND transporter periplasmic adaptor subunit
I6J55_RS07485		glucosaminidase domain-containing protein
I6J55_RS07490		cytidine deaminase
I6J55_RS07495		AraC family transcriptional regulator
I6J55_RS07500		DUF417 family protein
I6J55_RS07505		FAD-dependent oxidoreductase
I6J55_RS07510		ABC-F family ATP-binding cassette domain-containing protein
I6J55_RS07515	nudC	NAD(+) diphosphatase
I6J55_RS07520		histidine decarboxylase, pyruvoyl type
I6J55_RS07525		putative Ig domain-containing protein
I6J55_RS07530		DUF5018-related domain-containing protein
I6J55_RS07535		RagB/SusD family nutrient uptake outer membrane protein
I6J55_RS07540		TonB-dependent receptor
I6J55_RS07545		FecR family protein
I6J55_RS07550		RNA polymerase sigma-70 factor
I6J55_RS07555		phospho-sugar mutase
I6J55_RS07560		C69 family dipeptidase
I6J55_RS07565		M23 family metallopeptidase
I6J55_RS07570	ald	alanine dehydrogenase
I6J55_RS07575		NAD(P)H-dependent flavin oxidoreductase
I6J55_RS07580		DUF4858 domain-containing protein
I6J55_RS07585		DUF4943 family protein
I6J55_RS07590		outer membrane beta-barrel protein
I6J55_RS07595		RNA polymerase sigma factor
I6J55_RS07600	nadC	carboxylating nicotinate-nucleotide diphosphorylase
I6J55_RS07605		DUF4783 domain-containing protein
I6J55_RS07610	rlmH	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
I6J55_RS07615	queF	preQ(1) synthase
I6J55_RS07620	queC	7-cyano-7-deazaguanine synthase QueC
I6J55_RS07625		queuosine precursor transporter
I6J55_RS07630		RNA polymerase sigma factor
I6J55_RS07635		DcaP family trimeric outer membrane transporter
I6J55_RS07640		6-bladed beta-propeller
I6J55_RS07645		OmpP1/FadL family transporter
I6J55_RS07650		2-hydroxyacid dehydrogenase
I6J55_RS07655		protease inhibitor I42 family protein
I6J55_RS07660		helix-turn-helix domain-containing protein
I6J55_RS07665		pirin family protein
I6J55_RS07670	pdxH	pyridoxamine 5'-phosphate oxidase
I6J55_RS07675		MBL fold metallo-hydrolase
I6J55_RS07680		DUF4468 domain-containing protein
I6J55_RS07685		VOC family protein
I6J55_RS07690		hypothetical protein
I6J55_RS07695		class I SAM-dependent methyltransferase
I6J55_RS07700		SLC13 family permease
I6J55_RS07705		TlpA family protein disulfide reductase
I6J55_RS07710		
I6J55_RS07715		sugar transferase
I6J55_RS07720		DegT/DnrJ/EryC1/StrS aminotransferase family protein
I6J55_RS07725		3-oxoacyl-ACP synthase III family protein
I6J55_RS07730		SDR family NAD(P)-dependent oxidoreductase
I6J55_RS07735		acyl carrier protein
I6J55_RS07740		hypothetical protein
I6J55_RS07745	rfbA	glucose-1-phosphate thymidylyltransferase RfbA
I6J55_RS07750		glycosyltransferase family 4 protein
I6J55_RS07755		cupin domain-containing protein
I6J55_RS07760		NAD-dependent epimerase/dehydratase family protein
I6J55_RS07765		calponin homology domain-containing protein
I6J55_RS07770		glycosyltransferase
I6J55_RS07775		nucleotidyltransferase family protein
I6J55_RS07780		D-sedoheptulose-7-phosphate isomerase
I6J55_RS07785		D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase
I6J55_RS07790		NAD-dependent epimerase/dehydratase family protein
I6J55_RS07795		GHMP family kinase ATP-binding protein
I6J55_RS07800		hypothetical protein
I6J55_RS07805		hypothetical protein
I6J55_RS07810		MATE family efflux transporter
I6J55_RS07815		DegT/DnrJ/EryC1/StrS family aminotransferase
I6J55_RS07820		acyltransferase
I6J55_RS21950		sugar 3,4-ketoisomerase
I6J55_RS07830	wecB	non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase
I6J55_RS07835		UpxZ family transcription anti-terminator antagonist
I6J55_RS07840	upaY	capsular polysaccharide transcription antiterminator UpaY
I6J55_RS07845		hypothetical protein
I6J55_RS07850		winged helix-turn-helix domain-containing protein
I6J55_RS07855		NHL repeat-containing protein
I6J55_RS07860		NHL repeat-containing protein
I6J55_RS07865		hypothetical protein
I6J55_RS07870		glycoside hydrolase domain-containing protein
I6J55_RS07875		hypothetical protein
I6J55_RS07880		Fic family protein
I6J55_RS22115		ISAon1 family transposase N-terminal region protein
I6J55_RS07885		
I6J55_RS07890		hypothetical protein
I6J55_RS07895	feoB	ferrous iron transport protein B
I6J55_RS07900	tilS	tRNA lysidine(34) synthetase TilS
I6J55_RS07905		alpha-2-macroglobulin family protein
I6J55_RS07910	pbpC	penicillin-binding protein 1C
I6J55_RS07915		MFS transporter
I6J55_RS07920		hypothetical protein
I6J55_RS07925		VIT1/CCC1 transporter family protein
I6J55_RS07930		Na+/H+ antiporter NhaC family protein
I6J55_RS07935		DUF4251 domain-containing protein
I6J55_RS07940		LuxR C-terminal-related transcriptional regulator
I6J55_RS07945	mnmA	tRNA 2-thiouridine(34) synthase MnmA
I6J55_RS07950		O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein
I6J55_RS07955		DUF4595 domain-containing protein
I6J55_RS07960		alpha/beta hydrolase
I6J55_RS07965		putative signal transducing protein
I6J55_RS07970		TonB-dependent receptor
I6J55_RS07975		M48 family metallopeptidase
I6J55_RS07980		hemolysin family protein
I6J55_RS07985		copper resistance protein NlpE N-terminal domain-containing protein
I6J55_RS07990		glycoside hydrolase family 31 protein
I6J55_RS07995		PH domain-containing protein
I6J55_RS08000		hypothetical protein
I6J55_RS08005		hypothetical protein
I6J55_RS08010		
I6J55_RS08015	pflB	formate C-acetyltransferase
I6J55_RS08020	pflA	pyruvate formate-lyase-activating protein
I6J55_RS08025		outer membrane beta-barrel protein
I6J55_RS08030		RNA polymerase sigma factor
I6J55_RS08035		NigD1/NigD2 family lipoprotein
I6J55_RS08040		hydrogen peroxide-inducible genes activator
I6J55_RS08045		Dps family protein
I6J55_RS08050		glycoside hydrolase family 130 protein
I6J55_RS08055		MFS transporter
I6J55_RS08060		BT_3987 domain-containing protein
I6J55_RS08065		DUF1735 and LamG domain-containing protein
I6J55_RS08070		glycoside hydrolase family 18
I6J55_RS08075		SusD/RagB family nutrient-binding outer membrane lipoprotein
I6J55_RS08080		SusC/RagA family TonB-linked outer membrane protein
I6J55_RS08085		FecR domain-containing protein
I6J55_RS08090		RNA polymerase sigma-70 factor
I6J55_RS08095		glycoside hydrolase family 97 protein
I6J55_RS08100		endonuclease/exonuclease/phosphatase family protein
I6J55_RS08105		AMP-binding protein
I6J55_RS08110		o-succinylbenzoate synthase
I6J55_RS08115	menB	1,4-dihydroxy-2-naphthoyl-CoA synthase
I6J55_RS08120		hypothetical protein
I6J55_RS08125	menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
I6J55_RS08130		isochorismate synthase
I6J55_RS08135		Cof-type HAD-IIB family hydrolase
I6J55_RS08140		hypothetical protein
I6J55_RS08145		peptide chain release factor 3
I6J55_RS08150	rfbD	dTDP-4-dehydrorhamnose reductase
I6J55_RS08155		DUF4924 family protein
I6J55_RS08160		LysE family translocator
I6J55_RS08165		cation:proton antiporter domain-containing protein
I6J55_RS08170		hypothetical protein
I6J55_RS08175		hypothetical protein
I6J55_RS08180	gcvT	glycine cleavage system aminomethyltransferase GcvT
I6J55_RS08185	pepT	peptidase T
I6J55_RS08190		amidophosphoribosyltransferase
I6J55_RS08195		DUF488 domain-containing protein
I6J55_RS08200		OmpA family protein
I6J55_RS08205		Fur family transcriptional regulator
I6J55_RS08210		heavy metal translocating P-type ATPase
I6J55_RS08215		YeiH family protein
I6J55_RS08220		ATP-binding protein
I6J55_RS08225		sulfatase
I6J55_RS08230		thioredoxin family protein
I6J55_RS08235		TrmH family RNA methyltransferase
I6J55_RS08240		alcohol dehydrogenase
I6J55_RS08245		Crp/Fnr family transcriptional regulator
I6J55_RS08250		DMT family transporter
I6J55_RS08255		hypothetical protein
I6J55_RS08260		
I6J55_RS08265		endonuclease MutS2
I6J55_RS08270	corA	magnesium/cobalt transporter CorA
I6J55_RS08275		L-serine ammonia-lyase
I6J55_RS08280		PepSY-like domain-containing protein
I6J55_RS08285		PepSY-like domain-containing protein
I6J55_RS08290		DUF4738 domain-containing protein
I6J55_RS08295		DUF4890 domain-containing protein
I6J55_RS08300	ahpC	alkyl hydroperoxide reductase subunit C
I6J55_RS08305	ahpF	alkyl hydroperoxide reductase subunit F
I6J55_RS08310		endonuclease/exonuclease/phosphatase family protein
I6J55_RS08315		alkaline phosphatase
I6J55_RS08320		metallophosphoesterase family protein
I6J55_RS08325		SusD/RagB family nutrient-binding outer membrane lipoprotein
I6J55_RS08330		SusC/RagA family TonB-linked outer membrane protein
I6J55_RS08335		FecR family protein
I6J55_RS08340		CepA family extended-spectrum class A beta-lactamase
I6J55_RS08345		glycoside hydrolase family 43 protein
I6J55_RS08350		RNA polymerase sigma-70 factor
I6J55_RS08355		glycoside hydrolase family 31 protein
I6J55_RS08360		catalase
I6J55_RS08365		potassium channel family protein
I6J55_RS08370		TrkH family potassium uptake protein
I6J55_RS08375		TrpB-like pyridoxal phosphate-dependent enzyme
I6J55_RS08380	nfo	deoxyribonuclease IV
I6J55_RS08385		ClC family H(+)/Cl(-) exchange transporter
I6J55_RS08390		RecQ family ATP-dependent DNA helicase
I6J55_RS08395		RNA-binding domain-containing protein
I6J55_RS08400		hypothetical protein
I6J55_RS08405		PDDEXK-like family protein
I6J55_RS08410		IS1182 family transposase
I6J55_RS08415	dnaK	molecular chaperone DnaK
I6J55_RS08420		UpxY family transcription antiterminator
I6J55_RS08425		SLBB domain-containing protein
I6J55_RS08430		ABC transporter substrate-binding protein
I6J55_RS08435		FecCD family ABC transporter permease
I6J55_RS08440		META domain-containing protein
I6J55_RS08445		hypothetical protein
I6J55_RS08450		saccharopine dehydrogenase family protein
I6J55_RS08455	bcp	thioredoxin-dependent thiol peroxidase
I6J55_RS08460	recA	recombinase RecA
I6J55_RS08465		hypothetical protein
I6J55_RS08470		RNA polymerase sigma factor
I6J55_RS08475		hypothetical protein
I6J55_RS08480		DUF4252 domain-containing protein
I6J55_RS08485		YeiH family protein
I6J55_RS08490		LysR family transcriptional regulator
I6J55_RS08495		DUF6621 family protein
I6J55_RS08500	clpB	ATP-dependent chaperone ClpB
I6J55_RS08505		hypothetical protein
I6J55_RS08510		DUF5606 family protein
I6J55_RS08515	coaE	dephospho-CoA kinase
I6J55_RS08520		CdaR family protein
I6J55_RS08525	yajC	preprotein translocase subunit YajC
I6J55_RS08530	nusB	transcription antitermination factor NusB
I6J55_RS08535		PUR family DNA/RNA-binding protein
I6J55_RS08540		50S ribosomal protein L25/general stress protein Ctc
I6J55_RS08545	pth	aminoacyl-tRNA hydrolase
I6J55_RS08550		RNA-binding S4 domain-containing protein
I6J55_RS08555		BT1926 family outer membrane beta-barrel protein
I6J55_RS08560		hypothetical protein
I6J55_RS08565		helix-turn-helix domain-containing protein
I6J55_RS08570		glycoside hydrolase family 97 protein
I6J55_RS08575	crcB	fluoride efflux transporter CrcB
I6J55_RS08580		pentapeptide repeat-containing protein
I6J55_RS08585	eno	phosphopyruvate hydratase
I6J55_RS08590		
I6J55_RS08595		DUF4199 domain-containing protein
I6J55_RS08600		glycosyltransferase family 2 protein
I6J55_RS08605		DUF6452 family protein
I6J55_RS08610		DUF6048 family protein
I6J55_RS08615		manganese efflux pump MntP
I6J55_RS08620		FAD:protein FMN transferase
I6J55_RS08625		DMT family protein
I6J55_RS08630		ATP-binding protein
I6J55_RS08635		tetratricopeptide repeat protein
I6J55_RS08640		NfeD family protein
I6J55_RS08645	floA	flotillin-like protein FloA
I6J55_RS08650		nucleoside phosphorylase
I6J55_RS08655		3'-5' exonuclease
I6J55_RS08660		NAD(P)-dependent oxidoreductase
I6J55_RS08665		PAS domain-containing hybrid sensor histidine kinase/response regulator
I6J55_RS08670	mnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
I6J55_RS08675		SDR family NAD(P)-dependent oxidoreductase
I6J55_RS08680		TIM-barrel domain-containing protein
I6J55_RS08685		site-specific DNA-methyltransferase
I6J55_RS08690		type III restriction-modification system endonuclease
I6J55_RS08695		RluA family pseudouridine synthase
I6J55_RS08700		GNAT family N-acetyltransferase
I6J55_RS08705		TolB family protein
I6J55_RS08710		AraC family transcriptional regulator
I6J55_RS08715	ribB	3,4-dihydroxy-2-butanone-4-phosphate synthase
I6J55_RS08720		sodium ion-translocating decarboxylase subunit beta
I6J55_RS08725		LapA family protein
I6J55_RS08730		hypothetical protein
I6J55_RS21885		hypothetical protein
I6J55_RS08735		YfcC family protein
I6J55_RS08740		transglutaminase domain-containing protein
I6J55_RS08745		hypothetical protein
I6J55_RS08750	dinB	DNA polymerase IV
I6J55_RS08755		response regulator transcription factor
I6J55_RS08760		ligand-binding sensor domain-containing protein
I6J55_RS08765	ssrA	
I6J55_RS08770		lactonase family protein
I6J55_RS08775		OprO/OprP family phosphate-selective porin
I6J55_RS08780		M23 family metallopeptidase
I6J55_RS08785		B3/B4 domain-containing protein
I6J55_RS08790	pgeF	peptidoglycan editing factor PgeF
I6J55_RS08795	obgE	GTPase ObgE
I6J55_RS08800		adenylate kinase
I6J55_RS08805	hpt	hypoxanthine phosphoribosyltransferase
I6J55_RS08810		TonB-dependent receptor plug domain-containing protein
I6J55_RS08815		HmuY family protein
I6J55_RS08820		PepSY-associated TM helix domain-containing protein
I6J55_RS08825		MraY family glycosyltransferase
I6J55_RS08830		NAD-dependent epimerase/dehydratase family protein
I6J55_RS08835		glycosyltransferase family 2 protein
I6J55_RS08840		glycosyltransferase
I6J55_RS08845		glycosyltransferase family 4 protein
I6J55_RS08850		acyltransferase family protein
I6J55_RS08855		glycosyltransferase
I6J55_RS08860		acyltransferase family protein
I6J55_RS08865		hypothetical protein
I6J55_RS08870		glycosyltransferase family 4 protein
I6J55_RS08875		glycosyltransferase family 2 protein
I6J55_RS08880		polysaccharide pyruvyl transferase family protein
I6J55_RS08885		radical SAM protein
I6J55_RS08890		MATE family efflux transporter
I6J55_RS08895		UpxZ family transcription anti-terminator antagonist
I6J55_RS08900	upcY	capsular polysaccharide transcription antiterminator UpcY
I6J55_RS08905		class I SAM-dependent methyltransferase
I6J55_RS08910		DUF5690 family protein
I6J55_RS08915		NAD(P)H-hydrate dehydratase
I6J55_RS08920		DUF4831 family protein
I6J55_RS08925		PqqD family protein
I6J55_RS08930		MFS transporter
I6J55_RS08935	secG	preprotein translocase subunit SecG
I6J55_RS08940		hypothetical protein
I6J55_RS08945	lptE	LPS assembly lipoprotein LptE
I6J55_RS08950		sigma-54 interaction domain-containing protein
I6J55_RS08955	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
I6J55_RS08960		DUF4837 family protein
I6J55_RS08965	rlmN	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
I6J55_RS08970		peptidylprolyl isomerase
I6J55_RS08975		hemolysin family protein
I6J55_RS08980	lptC	LPS export ABC transporter periplasmic protein LptC
I6J55_RS08985		hypothetical protein
I6J55_RS08990		membrane protein
I6J55_RS08995		type III pantothenate kinase
I6J55_RS09000	lnb	lipoprotein N-acyltransferase Lnb
I6J55_RS09005		alkaline phosphatase family protein
I6J55_RS09010	secA	preprotein translocase subunit SecA
I6J55_RS09015		DUF6340 family protein
I6J55_RS09020		hypothetical protein
I6J55_RS09025		sulfatase-like hydrolase/transferase
I6J55_RS09030		sulfatase family protein
I6J55_RS09035		RagB/SusD family nutrient uptake outer membrane protein
I6J55_RS09040		TonB-dependent receptor
I6J55_RS09045		FecR family protein
I6J55_RS09050		RNA polymerase sigma-70 factor
I6J55_RS09055		metallophosphoesterase
I6J55_RS09060		endonuclease/exonuclease/phosphatase family protein
I6J55_RS09065		SusD/RagB family nutrient-binding outer membrane lipoprotein
I6J55_RS09070		SusC/RagA family TonB-linked outer membrane protein
I6J55_RS09075		FecR family protein
I6J55_RS09080		RNA polymerase sigma-70 factor
I6J55_RS09085		HU family DNA-binding protein
I6J55_RS09090		sensor histidine kinase
I6J55_RS09095		valine--tRNA ligase
I6J55_RS09100		DUF3810 domain-containing protein
I6J55_RS09105	mazG	nucleoside triphosphate pyrophosphohydrolase
I6J55_RS09110		hypothetical protein
I6J55_RS09115		hypothetical protein
I6J55_RS09120		RNA polymerase sigma factor
I6J55_RS09125		ribonuclease Z
I6J55_RS09130	rpsA	30S ribosomal protein S1
I6J55_RS09135		reverse transcriptase family protein
I6J55_RS09140		DUF5686 family protein
I6J55_RS09145		glutamine synthetase III family protein
I6J55_RS09150		Crp/Fnr family transcriptional regulator
I6J55_RS09155		beta-N-acetylhexosaminidase
I6J55_RS09160	trxB	thioredoxin-disulfide reductase
I6J55_RS09165		LolA-like putative outer membrane lipoprotein chaperone
I6J55_RS09170		DNA translocase FtsK
I6J55_RS09175		DUF5063 domain-containing protein
I6J55_RS09180		3'-5' exonuclease
I6J55_RS09185		class I SAM-dependent rRNA methyltransferase
I6J55_RS09190		6-bladed beta-propeller
I6J55_RS09195		IS110 family RNA-guided transposase
I6J55_RS22050		transposase
I6J55_RS09205		nucleoside permease
I6J55_RS09210		bifunctional nuclease family protein
I6J55_RS09215		16S rRNA (uracil(1498)-N(3))-methyltransferase
I6J55_RS09220		DUF4836 family protein
I6J55_RS09225		ATP-binding cassette domain-containing protein
I6J55_RS09230		hypothetical protein
I6J55_RS09235	miaA	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
I6J55_RS09240		diacylglycerol/lipid kinase family protein
I6J55_RS09245	kdsA	3-deoxy-8-phosphooctulonate synthase
I6J55_RS09250		M16 family metallopeptidase
I6J55_RS09255		DUF5687 family protein
I6J55_RS09260		ABC transporter ATP-binding protein
I6J55_RS09265		C40 family peptidase
I6J55_RS09270		HAD family hydrolase
I6J55_RS09275	rplU	50S ribosomal protein L21
I6J55_RS09280	rpmA	50S ribosomal protein L27
I6J55_RS09285	serS	serine--tRNA ligase
I6J55_RS09290	gluP	glucose/galactose MFS transporter
I6J55_RS09295		bifunctional dihydroorotate dehydrogenase B NAD binding subunit/NADPH-dependent glutamate synthase
I6J55_RS09300	panD	aspartate 1-decarboxylase
I6J55_RS09305	panC	pantoate--beta-alanine ligase
I6J55_RS09310		glycogen/starch synthase
I6J55_RS09315		DUF4270 domain-containing protein
I6J55_RS09320		glycoside hydrolase family 57 protein
I6J55_RS09325		glycosyltransferase family 4 protein
I6J55_RS09330		glycogen debranching enzyme N-terminal domain-containing protein
I6J55_RS09335		rhomboid family intramembrane serine protease
I6J55_RS09340		MarC family protein
I6J55_RS09345		Crp/Fnr family transcriptional regulator
I6J55_RS09350		STN domain-containing protein
I6J55_RS09355		FecR family protein
I6J55_RS09360		RNA polymerase sigma factor
I6J55_RS09365		PLP-dependent transferase
I6J55_RS09370		MalY/PatB family protein
I6J55_RS09375		Cof-type HAD-IIB family hydrolase
I6J55_RS09380		AAA family ATPase
I6J55_RS09385		AsmA family protein
I6J55_RS09390		L-threonylcarbamoyladenylate synthase
I6J55_RS09395		DUF6565 domain-containing protein
I6J55_RS09400	nagB	glucosamine-6-phosphate deaminase
I6J55_RS09405		FprA family A-type flavoprotein
I6J55_RS09410		TIGR01212 family radical SAM protein
I6J55_RS09415		LytR/AlgR family response regulator transcription factor
I6J55_RS09420		LiaF transmembrane domain-containing protein
I6J55_RS09425		hypothetical protein
I6J55_RS09430		S9 family peptidase
I6J55_RS09435	lipA	lipoyl synthase
I6J55_RS09440		hypothetical protein
I6J55_RS09445		SAM-dependent methyltransferase
I6J55_RS09450	gldB	gliding motility lipoprotein GldB
I6J55_RS09455		enoyl-ACP reductase FabI
I6J55_RS09460		SusC/RagA family TonB-linked outer membrane protein
I6J55_RS09465		RagB/SusD family nutrient uptake outer membrane protein
I6J55_RS09470		SusC/RagA family TonB-linked outer membrane protein
I6J55_RS09475		RagB/SusD family nutrient uptake outer membrane protein
I6J55_RS09480	guaA	glutamine-hydrolyzing GMP synthase
I6J55_RS09485	mscL	large-conductance mechanosensitive channel protein MscL
I6J55_RS09490	gap	type I glyceraldehyde-3-phosphate dehydrogenase
I6J55_RS09495		M3 family metallopeptidase
I6J55_RS09500		DUF4847 domain-containing protein
I6J55_RS09505		dCMP deaminase family protein
I6J55_RS09510		S41 family peptidase
I6J55_RS09515		5-formyltetrahydrofolate cyclo-ligase
I6J55_RS09520		histidinol-phosphatase
I6J55_RS09525		DciA family protein
I6J55_RS09530	recF	DNA replication/repair protein RecF
I6J55_RS09535		tetratricopeptide repeat protein
I6J55_RS09540	ribH	6,7-dimethyl-8-ribityllumazine synthase
I6J55_RS09545		
I6J55_RS09550		
I6J55_RS09555		Gfo/Idh/MocA family protein
I6J55_RS09560		RagB/SusD family nutrient uptake outer membrane protein
I6J55_RS09565		TonB-dependent receptor
I6J55_RS09570		RagB/SusD family nutrient uptake outer membrane protein
I6J55_RS09575		TonB-dependent receptor
I6J55_RS09580		RNA polymerase sigma-70 factor
I6J55_RS09585		FecR family protein
I6J55_RS09590		TonB-dependent receptor
I6J55_RS09595		RagB/SusD family nutrient uptake outer membrane protein
I6J55_RS09600		TonB-dependent receptor
I6J55_RS09605		RagB/SusD family nutrient uptake outer membrane protein
I6J55_RS09610		DUF6057 family protein
I6J55_RS09615		TolB family protein
I6J55_RS09620		beta-glucosidase
I6J55_RS09625		AraC family transcriptional regulator
I6J55_RS09630		sugar porter family MFS transporter
I6J55_RS09635		DUF5107 domain-containing protein
I6J55_RS09640		glycoside hydrolase family 2 protein
I6J55_RS09645		glycosyl hydrolase family 95 catalytic domain-containing protein
I6J55_RS21725		hypothetical protein
I6J55_RS09655		Gfo/Idh/MocA family protein
I6J55_RS09660		YitT family protein
I6J55_RS09665		glycoside hydrolase family 2 TIM barrel-domain containing protein
I6J55_RS09670		phosphotransferase enzyme family protein
I6J55_RS09675		DUF3256 family protein
I6J55_RS09680		DMT family transporter
I6J55_RS09685	truA	tRNA pseudouridine(38-40) synthase TruA
I6J55_RS09690		DUF4468 domain-containing protein
I6J55_RS09695	glaB	alpha-1,3-galactosidase
I6J55_RS09700		hypothetical protein
I6J55_RS09705		flotillin family protein
I6J55_RS09710		DUF5715 family protein
I6J55_RS09715		PhoH family protein
I6J55_RS09720		phosphoribosylaminoimidazolesuccinocarboxamide synthase
I6J55_RS09725	ubiE	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE
I6J55_RS09730		shikimate dehydrogenase family protein
I6J55_RS09735		alpha/beta hydrolase
I6J55_RS09740		TPM domain-containing protein
I6J55_RS09745		LemA family protein
I6J55_RS09750		AIR synthase related protein
I6J55_RS09755	prfA	peptide chain release factor 1
I6J55_RS09760	pyrF	orotidine-5'-phosphate decarboxylase
I6J55_RS09765		HD domain-containing protein
I6J55_RS09770	lpxD	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
I6J55_RS09775		bifunctional UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase/3-hydroxyacyl-ACP dehydratase
I6J55_RS09780	lpxA	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase
I6J55_RS09785		IS1096 element passenger TnpR family protein
I6J55_RS09790	miaA	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
I6J55_RS09795		6-bladed beta-propeller
I6J55_RS09800		ATP-binding protein
I6J55_RS09805		M56 family metallopeptidase
I6J55_RS09810		BlaI/MecI/CopY family transcriptional regulator
I6J55_RS09815		GSCFA domain-containing protein
I6J55_RS09820		bifunctional UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase/alanine racemase
I6J55_RS09825		Sec-independent protein translocase subunit TatA/TatB
I6J55_RS09830	tatC	twin-arginine translocase subunit TatC
I6J55_RS09835		acyltransferase family protein
I6J55_RS09840		AAA domain-containing protein
I6J55_RS09845		PNGase F N-terminal domain-containing protein
I6J55_RS09850		alpha-L-fucosidase
I6J55_RS09855		MFS transporter
I6J55_RS09860		hybrid sensor histidine kinase/response regulator transcription factor
I6J55_RS09865		SusC/RagA family TonB-linked outer membrane protein
I6J55_RS09870		RagB/SusD family nutrient uptake outer membrane protein
I6J55_RS09875		sulfatase family protein
I6J55_RS09880		alpha-L-fucosidase
I6J55_RS09885		Sip1-related alpha-galactosidase
I6J55_RS09890		sulfatase
I6J55_RS09895		HAD family hydrolase
I6J55_RS09900		hypothetical protein
I6J55_RS09905		alpha/beta hydrolase
I6J55_RS09910	dxs	1-deoxy-D-xylulose-5-phosphate synthase
I6J55_RS09915	trkA	Trk system potassium transporter TrkA
I6J55_RS09920		TrkH family potassium uptake protein
I6J55_RS09925		hypothetical protein
I6J55_RS09930		NADH-quinone oxidoreductase subunit A
I6J55_RS09935		NADH-quinone oxidoreductase subunit B
I6J55_RS09940		NADH-quinone oxidoreductase subunit D
I6J55_RS09945	nuoH	NADH-quinone oxidoreductase subunit NuoH
I6J55_RS09950		4Fe-4S dicluster domain-containing protein
I6J55_RS09955		NADH-quinone oxidoreductase subunit J family protein
I6J55_RS09960	nuoK	NADH-quinone oxidoreductase subunit NuoK
I6J55_RS09965	nuoL	NADH-quinone oxidoreductase subunit L
I6J55_RS09970		complex I subunit 4 family protein
I6J55_RS09975		NADH-quinone oxidoreductase subunit N
I6J55_RS09980		sensor histidine kinase
I6J55_RS09985		TonB-dependent receptor
I6J55_RS09990		hypothetical protein
I6J55_RS09995		hypothetical protein
I6J55_RS10000		Rid family hydrolase
I6J55_RS10005		TolB family protein
I6J55_RS10010		DUF6057 family protein
I6J55_RS10015		cellobiose 2-epimerase
I6J55_RS10020		MFS transporter
I6J55_RS10025		4-O-beta-D-mannosyl-D-glucose phosphorylase
I6J55_RS10030		glycoside hydrolase family 26 protein
I6J55_RS10035		methylcobamide--CoM methyltransferase
I6J55_RS10040		vitamin B12 dependent-methionine synthase activation domain-containing protein
I6J55_RS10045		cobalamin B12-binding domain-containing protein
I6J55_RS10050		uroporphyrinogen decarboxylase family protein
I6J55_RS10055		glycoside hydrolase family 3 N-terminal domain-containing protein
I6J55_RS10060		glycoside hydrolase 5 family protein
I6J55_RS10065		glycoside hydrolase family 26 protein
I6J55_RS10070		carbohydrate-binding protein
I6J55_RS10075		hypothetical protein
I6J55_RS10080		glycan-binding surface protein
I6J55_RS10085		RagB/SusD family nutrient uptake outer membrane protein
I6J55_RS10090		SusC/RagA family TonB-linked outer membrane protein
I6J55_RS10095		glycoside hydrolase family 3 C-terminal domain-containing protein
I6J55_RS10100		aldo/keto reductase
I6J55_RS10105		ATP-binding protein
I6J55_RS10110		smalltalk protein
I6J55_RS10115		HU family DNA-binding protein
I6J55_RS10120		N-acetylmuramidase family protein
I6J55_RS10125		DegT/DnrJ/EryC1/StrS family aminotransferase
I6J55_RS10130		3-oxoacyl-ACP synthase III family protein
I6J55_RS10135		SDR family NAD(P)-dependent oxidoreductase
I6J55_RS10140		acyl carrier protein
I6J55_RS10145		acetyltransferase
I6J55_RS10150		sugar transferase
I6J55_RS10155		hypothetical protein
I6J55_RS10160		glycosyltransferase family 4 protein
I6J55_RS21730		acyltransferase family protein
I6J55_RS10170		glycosyltransferase family protein
I6J55_RS10175		ATP-grasp fold amidoligase family protein
I6J55_RS10180		O-antigen ligase family protein
I6J55_RS10185		glycosyltransferase
I6J55_RS10190		hypothetical protein
I6J55_RS10195		polysaccharide pyruvyl transferase family protein
I6J55_RS10200		glycosyltransferase family protein
I6J55_RS10205		Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain
I6J55_RS10210		glycosyltransferase family A protein
I6J55_RS10215		MATE family efflux transporter
I6J55_RS10220		nucleotide sugar dehydrogenase
